Member State,Product desc,country_3,Timestamp,Price,cluster_cows,cluster_costs,cluster_all
Austria,Emmental,AUT,2005,474.5,2,2,2
Czechia,Butter,CZE,2005,289.0663916666667,1,2,0
France,Whey Powder,FRA,2005,54.71875,0,2,1
Belgium,Gouda,BEL,2005,360.63939090909093,0,2,1
Austria,Raw Milk,AUT,2005,29.401818181818182,2,2,2
Netherlands,Butter,NLD,2005,279.23333333333335,0,1,1
Sweden,Raw Milk,SWE,2005,29.468333333333334,2,1,2
Sweden,Gouda,SWE,2005,312.8125,2,1,2
Slovenia,Edam,SVN,2005,338.0516666666667,2,2,2
Hungary,Butter,HUN,2005,328.4377416666667,1,0,0
Czechia,Edam,CZE,2005,310.27206666666666,1,2,0
Estonia,Edam,EST,2005,302.12600000000003,1,1,0
Denmark,WMP,DNK,2005,240.45065,0,1,1
France,SMP,FRA,2005,202.9416666666667,0,2,1
Germany,Whey Powder,DEU,2005,54.25833333333333,0,2,1
Estonia,Butter,EST,2005,254.89955555555557,1,1,0
Slovenia,Butter,SVN,2005,314.82057142857144,2,2,2
Czechia,SMP,CZE,2005,193.6821,1,2,0
Germany,WMP,DEU,2005,242.60833333333335,0,2,1
Italy,Butter,ITA,2005,260.0,0,1,1
France,WMP,FRA,2005,238.16666666666666,0,2,1
Spain,Butter,ESP,2005,248.04706666666667,0,1,2
Italy,Raw Milk,ITA,2005,33.7625,0,1,1
Latvia,Butter,LVA,2005,258.732775,1,1,0
Poland,Whey Powder,POL,2005,47.043416666666666,2,2,2
Latvia,Raw Milk,LVA,2005,21.201666666666664,1,1,0
Poland,SMP,POL,2005,189.973375,2,2,2
Sweden,Cheddar,SWE,2005,616.2254285714286,2,1,2
Germany,Raw Milk,DEU,2005,28.6375,0,2,1
Lithuania,Gouda,LTU,2005,300.349,1,2,0
Poland,Edam,POL,2005,274.4984583333333,2,2,2
Poland,Raw Milk,POL,2005,24.903333333333332,2,2,2
Lithuania,Butter,LTU,2005,263.15657142857145,1,2,0
Germany,Emmental,DEU,2005,408.5333333333333,0,2,1
Germany,Gouda,DEU,2005,282.68333333333334,0,2,1
Slovenia,SMP,SVN,2005,318.18142857142857,2,2,2
Spain,Edam,ESP,2005,608.11555,0,1,2
Slovenia,WMP,SVN,2005,366.816,2,2,2
Latvia,SMP,LVA,2005,198.06968333333336,1,1,0
Austria,WMP,AUT,2005,274.8,2,2,2
Latvia,WMP,LVA,2005,233.9995,1,1,0
Czechia,Whey Powder,CZE,2005,55.80134,1,2,0
Poland,Emmental,POL,2005,285.68666666666667,2,2,2
Lithuania,Raw Milk,LTU,2005,19.819166666666664,1,2,0
Belgium,Raw Milk,BEL,2005,27.625,0,2,1
Denmark,Butter,DNK,2005,352.9694416666667,0,1,1
Germany,Edam,DEU,2005,281.6666666666667,0,2,1
Denmark,SMP,DNK,2005,206.2605583333333,0,1,1
Netherlands,Whey Powder,NLD,2005,55.69166666666666,0,1,1
Austria,Gouda,AUT,2005,347.9642857142857,2,2,2
Germany,Butter,DEU,2005,279.4166666666667,0,2,1
Czechia,WMP,CZE,2005,235.52035833333332,1,2,0
Sweden,SMP,SWE,2005,209.08166666666668,2,1,2
Austria,SMP,AUT,2005,212.0,2,2,2
Austria,Butter,AUT,2005,288.9714285714286,2,2,2
Germany,SMP,DEU,2005,203.35,0,2,1
Sweden,Edam,SWE,2005,396.98371428571426,2,1,2
Luxembourg,Raw Milk,LUX,2005,30.848333333333333,0,2,1
Lithuania,WMP,LTU,2005,230.1387142857143,1,2,0
Poland,WMP,POL,2005,230.89566666666667,2,2,2
Spain,SMP,ESP,2005,219.5111111111111,0,1,2
Latvia,Edam,LVA,2005,305.9560666666667,1,1,0
Lithuania,SMP,LTU,2005,201.34428571428572,1,2,0
Denmark,Raw Milk,DNK,2005,29.088333333333335,0,1,1
Poland,Butter,POL,2005,258.35883333333334,2,2,2
Portugal,Butter,PRT,2005,262.08750000000003,2,1,2
Netherlands,Gouda,NLD,2005,280.3818181818182,0,1,1
Sweden,Whey Powder,SWE,2005,66.29985714285714,2,1,2
Czechia,Raw Milk,CZE,2005,27.0725,1,2,0
Hungary,SMP,HUN,2005,208.0333888888889,1,0,0
Belgium,Butter Oil,BEL,2005,327.17778333333337,0,2,1
